symbol	type
CCL1	aDC
EBI3	aDC
INDO	aDC
LAMP3	aDC
OAS3	aDC
ABCB4	Bcells
BACH2	Bcells
BCL11A	Bcells
BLK	Bcells
BLNK	Bcells
CCR9	Bcells
CD19	Bcells
CD72	Bcells
COCH	Bcells
CR2	Bcells
DTNB	Bcells
FAM30A	Bcells
FCRL2	Bcells
GLDC	Bcells
GNG7	Bcells
HLA-DOB	Bcells
HLA-DQA1	Bcells
IGHA1	Bcells
IGHG1	Bcells
IGHM	Bcells
IGKC	Bcells
IGL@	Bcells
KIAA0125	Bcells
MEF2C	Bcells
MICAL3	Bcells
MS4A1	Bcells
OSBPL10	Bcells
PNOC	Bcells
QRSL1	Bcells
SCN3A	Bcells
SLC15A2	Bcells
SPIB	Bcells
TCL1A	Bcells
TNFRSF17	Bcells
ANP32B	CD4
ASF1A	CD4
ATF2	CD4
BATF	CD4
C13orf34	CD4
CD28	CD4
DDX50	CD4
FAM111A	CD4
FRYL	CD4
FUSIP1	CD4
GOLGA8A	CD4
ICOS	CD4
ITM2A	CD4
LRBA	CD4
NAP1L4	CD4
NUP107	CD4
PHF10	CD4
PPP2R5C	CD4
RPA1	CD4
SEC24C	CD4
SLC25A12	CD4
TRA@	CD4
UBE2L3	CD4
ABT1	CD8
AES	CD8
APBA2	CD8
ARHGAP8	CD8
C12orf47	CD8
C19orf6	CD8
C4orf15	CD8
CAMLG	CD8
CD8A	CD8
CD8B	CD8
CDKN2AIP	CD8
DNAJB1	CD8
FLT3LG	CD8
GADD45A	CD8
GZMM	CD8
KLF9	CD8
LEPROTL1	CD8
LIME1	CD8
MYST3	CD8
PF4	CD8
PPP1R2	CD8
PRF1	CD8
PRR5	CD8
RBM3	CD8
SF1	CD8
SFRS7	CD8
SLC16A7	CD8
TBCC	CD8
THUMPD1	CD8
TMC6	CD8
TSC22D3	CD8
VAMP2	CD8
ZEB1	CD8
ZFP36L2	CD8
ZNF22	CD8
ZNF609	CD8
ZNF91	CD8
APBA2	CTL
APOL3	CTL
CTSW	CTL
DUSP2	CTL
GNLY	CTL
GZMA	CTL
GZMH	CTL
KLRB1	CTL
KLRD1	CTL
KLRF1	CTL
KLRK1	CTL
NKG7	CTL
RORA	CTL
RUNX3	CTL
SIGIRR	CTL
WHDC1L1	CTL
ZBTB16	CTL
CCL13	Dcgeneral
CCL17	Dcgeneral
CCL22	Dcgeneral
CD209	Dcgeneral
HSD11B1	Dcgeneral
NPR1	Dcgeneral
PPFIBP2	Dcgeneral
ABHD2	Eosinophils
ACACB	Eosinophils
C9orf156	Eosinophils
CAT	Eosinophils
CCR3	Eosinophils
CLC	Eosinophils
CYSLTR2	Eosinophils
EMR1	Eosinophils
EPN2	Eosinophils
GALC	Eosinophils
GPR44	Eosinophils
HES1	Eosinophils
HIST1H1C	Eosinophils
HRH4	Eosinophils
IGSF2	Eosinophils
IL5RA	Eosinophils
KBTBD11	Eosinophils
KCNH2	Eosinophils
LRP5L	Eosinophils
MYO15B	Eosinophils
RCOR3	Eosinophils
RNASE2	Eosinophils
RNU2	Eosinophils
RRP12	Eosinophils
SIAH1	Eosinophils
SMPD3	Eosinophils
SYNJ1	Eosinophils
TGIF1	Eosinophils
THBS1	Eosinophils
THBS4	Eosinophils
TIPARP	Eosinophils
TKTL1	Eosinophils
ABCG2	iDC
BLVRB	iDC
CARD9	iDC
CD1A	iDC
CD1B	iDC
CD1C	iDC
CD1E	iDC
CH25H	iDC
CLEC10A	iDC
CSF1R	iDC
CTNS	iDC
F13A1	iDC
FABP4	iDC
FZD2	iDC
GSTT1	iDC
GUCA1A	iDC
HS3ST2	iDC
LMAN2L	iDC
MMP12	iDC
MS4A6A	iDC
NM_021941	iDC
NUDT9	iDC
PPARG	iDC
PREP	iDC
RAP1GAP	iDC
SLC26A6	iDC
SLC7A8	iDC
SYT17	iDC
TACSTD2	iDC
TM7SF4	iDC
VASH1	iDC
APOE	Macrophages
ATG7	Macrophages
BCAT1	Macrophages
CCL7	Macrophages
CD163	Macrophages
CD68	Macrophages
CD84	Macrophages
CHI3L1	Macrophages
CHIT1	Macrophages
CLEC5A	Macrophages
COL8A2	Macrophages
COLEC12	Macrophages
CTSK	Macrophages
CXCL5	Macrophages
CYBB	Macrophages
DNASE2B	Macrophages
EMP1	Macrophages
FDX1	Macrophages
FN1	Macrophages
GM2A	Macrophages
GPC4	Macrophages
KAL1	Macrophages
MARCO	Macrophages
ME1	Macrophages
MS4A4A	Macrophages
MSR1	Macrophages
PCOLCE2	Macrophages
PTGDS	Macrophages
RAI14	Macrophages
SCARB2	Macrophages
SCG5	Macrophages
SGMS1	Macrophages
SULT1C2	Macrophages
ABCC4	Mastcells
ADCYAP1	Mastcells
CALB2	Mastcells
CEACAM8	Mastcells
CMA1	Mastcells
CPA3	Mastcells
CTSG	Mastcells
ELA2	Mastcells
GATA2	Mastcells
HDC	Mastcells
HPGD	Mastcells
KIT	Mastcells
LOC339524	Mastcells
LOH11CR2A	Mastcells
MAOB	Mastcells
MLPH	Mastcells
MPO	Mastcells
MS4A2	Mastcells
NM_003293	Mastcells
NR0B1	Mastcells
PGDS	Mastcells
PPM1H	Mastcells
PRG2	Mastcells
PTGS1	Mastcells
SCG2	Mastcells
SIGLEC6	Mastcells
SLC18A2	Mastcells
SLC24A3	Mastcells
TAL1	Mastcells
TPSAB1	Mastcells
TPSB2	Mastcells
ALPL	Neutrophils
BST1	Neutrophils
CD93	Neutrophils
CEACAM3	Neutrophils
CREB5	Neutrophils
CRISPLD2	Neutrophils
CSF3R	Neutrophils
CYP4F3	Neutrophils
DYSF	Neutrophils
FCAR	Neutrophils
FCGR3B	Neutrophils
FLJ11151	Neutrophils
FPR1	Neutrophils
FPRL1	Neutrophils
G0S2	Neutrophils
HIST1H2BC	Neutrophils
HPSE	Neutrophils
IL8RA	Neutrophils
IL8RB	Neutrophils
KCNJ15	Neutrophils
KIAA0329	Neutrophils
LILRB2	Neutrophils
MGAM	Neutrophils
MME	Neutrophils
PDE4B	Neutrophils
S100A12	Neutrophils
SIGLEC5	Neutrophils
SLC22A4	Neutrophils
SLC25A37	Neutrophils
TNFRSF10C	Neutrophils
VNN3	Neutrophils
ADARB1	NK
AF107846	NK
AL080130	NK
ALDH1B1	NK
ARL6IP2	NK
BCL2	NK
CDC5L	NK
FGF18	NK
FUT5	NK
FZR1	NK
GAGE2	NK
IGFBP5	NK
LDB3	NK
LOC643313	NK
LOC730096	NK
MAPRE3	NK
MCM3AP	NK
MRC2	NK
NCR1	NK
NM_014114	NK
NM_014274	NK
NM_017616	NK
PDLIM4	NK
PRX	NK
PSMD4	NK
RP5-886K2.1	NK
SLC30A5	NK
SMEK1	NK
SPN	NK
TBXA2R	NK
TCTN2	NK
TINAGL1	NK
XCL1	NK
XCL2	NK
ZNF205	NK
ZNF528	NK
ZNF747	NK
BG255923	NK56bright
DUSP4	NK56bright
FOXJ1	NK56bright
MADD	NK56bright
MPPED1	NK56bright
MUC3B	NK56bright
NIBP	NK56bright
PLA2G6	NK56bright
RRAD	NK56bright
XCL1	NK56bright
EDG8	NK56dim
FLJ20699	NK56dim
GTF3C1	NK56dim
GZMB	NK56dim
IL21R	NK56dim
KIR2DL3	NK56dim
KIR2DS1	NK56dim
KIR2DS2	NK56dim
KIR2DS5	NK56dim
KIR3DL1	NK56dim
KIR3DL2	NK56dim
KIR3DL3	NK56dim
KIR3DS1	NK56dim
SPON2	NK56dim
TMEPAI	NK56dim
IL3RA	pDC
AQP3	Tcm
ATF7IP	Tcm
ATM	Tcm
CASP8	Tcm
CDC14A	Tcm
CEP68	Tcm
CG030	Tcm
CLUAP1	Tcm
CREBZF	Tcm
CYLD	Tcm
CYorf15B	Tcm
DOCK9	Tcm
FOXP1	Tcm
FYB	Tcm
HNRPH1	Tcm
INPP4B	Tcm
KLF12	Tcm
LOC202134	Tcm
MAP3K1	Tcm
MLL	Tcm
NEFL	Tcm
NFATC3	Tcm
PCM1	Tcm
PCNX	Tcm
PDXDC2	Tcm
PHC3	Tcm
POLR2J2	Tcm
PSPC1	Tcm
REPS1	Tcm
RP11-74E24.2	Tcm
RPP38	Tcm
SLC7A6	Tcm
SNRPN	Tcm
ST3GAL1	Tcm
STX16	Tcm
TIMM8A	Tcm
TRAF3IP3	Tcm
TXK	Tcm
USP9Y	Tcm
AKT3	Tem
C7orf54	Tem
CCR2	Tem
DDX17	Tem
EWSR1	Tem
FLI1	Tem
GDPD5	Tem
LTK	Tem
MEFV	Tem
NFATC4	Tem
PRKY	Tem
TBC1D5	Tem
TBCD	Tem
TRA@	Tem
VIL2	Tem
B3GAT1	Tfh
BLR1	Tfh
C18orf1	Tfh
CDK5R1	Tfh
CHGB	Tfh
CHI3L2	Tfh
CXCL13	Tfh
HEY1	Tfh
HIST1H4K	Tfh
ICA1	Tfh
KCNK5	Tfh
KIAA1324	Tfh
MAF	Tfh
MAGEH1	Tfh
MKL2	Tfh
MYO6	Tfh
MYO7A	Tfh
PASK	Tfh
PDCD1	Tfh
POMT1	Tfh
PTPN13	Tfh
PVALB	Tfh
SH3TC1	Tfh
SIRPG	Tfh
SLC7A10	Tfh
SMAD1	Tfh
ST8SIA1	Tfh
STK39	Tfh
THADA	Tfh
TOX	Tfh
TSHR	Tfh
ZNF764	Tfh
C1orf61	Tgd
CD160	Tgd
FEZ1	Tgd
TARP	Tgd
TRD@	Tgd
TRGV9	Tgd
BCL11B	Tgeneral
CD2	Tgeneral
CD28	Tgeneral
CD3D	Tgeneral
CD3E	Tgeneral
CD3G	Tgeneral
CD6	Tgeneral
CD96	Tgeneral
GIMAP5	Tgeneral
ITM2A	Tgeneral
LCK	Tgeneral
NCALD	Tgeneral
PRKCQ	Tgeneral
SH2D1A	Tgeneral
SKAP1	Tgeneral
TRA@	Tgeneral
TRAT1	Tgeneral
TRBC1	Tgeneral
APBB2	Th1
APOD	Th1
ATP9A	Th1
BST2	Th1
BTG3	Th1
CCL4	Th1
CD38	Th1
CD70	Th1
CMAH	Th1
CSF2	Th1
CTLA4	Th1
DGKI	Th1
DOK5	Th1
DPP4	Th1
DUSP5	Th1
EGFL6	Th1
GGT1	Th1
HBEGF	Th1
IFNG	Th1
IL12RB2	Th1
IL22	Th1
LRP8	Th1
LRRN3	Th1
LTA	Th1
SGCB	Th1
SYNGR3	Th1
ZBTB32	Th1
TBX21	Th1
CCR5	Th1
CXCR3	Th1
TNF	Th1
IL17A	Th17
IL17RA	Th17
STAT3	Th17
IL21	Th17
RORC	Th17
IL22	Th17
ADCY1	Th2
AHI1	Th2
AI582773	Th2
ANK1	Th2
BIRC5	Th2
CDC25C	Th2
CDC7	Th2
CENPF	Th2
CXCR6	Th2
DHFR	Th2
EVI5	Th2
GATA3	Th2
GSTA4	Th2
HELLS	Th2
IL26	Th2
LAIR2	Th2
LIMA1	Th2
MB	Th2
MICAL2	Th2
NEIL3	Th2
PHEX	Th2
PMCH	Th2
PTGIS	Th2
SLC39A14	Th2
SMAD2	Th2
CXCR4	Th2
CCR4	Th2
SNRPD1	Th2
CCR7	Th2
CCR8	Th2
CRTH2	Th2
IL13	Th2
IL5	Th2
CCR3	Th2
WDHD1	Th2
IL4	Th2
FOXP3	Treg
IRF4	Th9
STAT6	Th9
CCR10	Th22
AHR	Th22
CCR5	Th1
CD28	Th1
CSF2	Th1
CXCR3	Th1
HAVCR2	Th1
IFNG	Th1
IGSF6	Th1
IL12B	Th1
IL12RB2	Th1
IL18	Th1
IL18R1	Th1
IL2	Th1
IL2RA	Th1
IRF1	Th1
SOCS1	Th1
SOCS5	Th1
STAT1	Th1
STAT4	Th1
TBX21	Th1
TLR4	Th1
TLR6	Th1
TNF	Th1
CCL11	Th2
CCL5	Th2
CCL7	Th2
CCR2	Th2
CCR3	Th2
CCR4	Th2
CEBPB	Th2
GATA3	Th2
GFI1	Th2
GPR44	Th2
ICOS	Th2
IL10	Th2
IL13	Th2
IL13RA1	Th2
IL1R1	Th2
IL1R2	Th2
IL4	Th2
IL4R	Th2
IL5	Th2
IL9	Th2
IRF4	Th2
JAK1	Th2
MAF	Th2
NFATC1	Th2
NFATC2	Th2
NFATC2IP	Th2
PCGF2	Th2
STAT6	Th2
TMED1	Th2
