logFC	AveExpr	t	P.Value	adj.P.Val	B
TSC22D3	1.58236865318214	7.47411358805048	10.7780589283331	5.31271414363491e-13	8.36699350481061e-09	19.5426172710601
SOCS1	-0.870880754097433	6.42484559005079	-9.18888252429346	4.13185571499182e-11	3.25362978277031e-07	15.1915380686586
IL7R	0.506418902067258	9.35748303978493	7.72956091986147	2.97419811438189e-09	1.56135487011335e-05	10.8274495047051
BATF	-0.714661066178029	7.56050587291328	-7.3523033324045	9.332893115788e-09	3.08159196040214e-05	10.0174767001223
ARID5A	-0.862327283875849	7.66784342268924	-7.25783141234149	1.24533725870307e-08	3.08159196040214e-05	9.71321393416117
ARRDC3	1.21348651091578	5.74995178009067	7.20128410034845	1.48057520959971e-08	3.08159196040214e-05	9.51169565211876
STK38	0.722459046130935	7.74257193498844	7.17488677841003	1.60527365013467e-08	3.08159196040214e-05	9.45683189877145
ANXA1	0.618770235868404	8.44991428993632	7.12203759431115	1.88770520874805e-08	3.08159196040214e-05	9.19379062584597
DUSP1	0.837305584637001	7.38844681109593	7.02893642145804	2.51283903246602e-08	3.59770017475521e-05	9.00309286918815
EML4	0.655494141687785	8.34348846427171	6.99768549157074	2.76649839458481e-08	3.63079860135968e-05	8.83848695939905
MGAT4A	0.608785372802551	6.85741024265524	6.93767627838418	3.32828131549893e-08	4.03208480290713e-05	8.8094972327015
ZMYM1	1.6539381875028	4.47421239278518	7.11034328589452	1.95669055838602e-08	3.08159196040214e-05	8.68224764854675
RYBP	-0.802431432352375	7.28163991417673	-6.76320433397775	5.70541075816029e-08	6.41817957359046e-05	8.27736837233799
DPEP2	3.58092049515515	2.66483091813872	7.32647246218981	1.00979729304072e-08	3.08159196040214e-05	7.76697893794772
NUB1	0.576278385641907	7.38881507731888	6.53992655850197	1.14039033345108e-07	0.000119133960385023	7.56923943223254
PARP8	0.669686421624625	7.68150790088921	6.52077908855601	1.21032660242578e-07	0.000119133960385023	7.47698905580119
TTC39C	0.565758649328546	7.12644626596613	6.47576852677111	1.39218976940709e-07	0.000123398989518546	7.40050988756826
BATF3	-1.33113316073913	6.54610048847762	-6.41673679230211	1.6730033997846e-07	0.000131740652716039	7.27385442040284
KIAA1551	0.72205859291338	9.20134013841362	6.47159995477808	1.41036371282865e-07	0.000123398989518546	7.054355391011
PPP2R5C	0.542209556548675	8.80707914074219	6.42513082067527	1.62984243052841e-07	0.000131740652716039	6.98368095053941
PTPN1	-0.581870350288699	7.39223718333372	-6.33464359363779	2.16063169224976e-07	0.000159223977596773	6.94947529998615
ZNF652	1.21029693547401	5.65103856760259	6.20671821550677	3.22037808242625e-07	0.00021048556561864	6.61872723595751
CD52	0.547389964579215	7.47790237183267	6.17091515011204	3.60129347070186e-07	0.000215714237471001	6.45405746468549
NCS1	-1.07999071723011	5.77904226252579	-6.13448347126126	4.03532823538327e-07	0.000223090358775083	6.432315066695
FAM111A	0.859102403816597	6.8497001383583	6.12877360146065	4.10795631752962e-07	0.000223090358775083	6.38933804809101
TNFSF14	-0.438962994193069	8.01252132113694	-6.16241363263818	3.69819316256082e-07	0.000215714237471001	6.30724222133019
CCNL1	0.518676317026342	8.60753339693466	6.19491627556807	3.34125286714458e-07	0.00021048556561864	6.30285350436013
RRS1	-0.814141275995178	5.38280090977469	-6.09138293352216	4.61705239139788e-07	0.000242379860373751	6.28064639316967
MTSS1	1.26896972431746	4.88235906179229	6.06421564054999	5.02619651679499e-07	0.000255346996590336	6.10377020478149
CD44	0.31533609084042	9.96305314620072	6.2306398826582	2.9886619966305e-07	0.000204645381673625	6.08610865068489
MLLT3	0.766842693991986	6.83735252269806	6.01484492905363	5.86499693544979e-07	0.000279902535564845	6.03911655762422
SCD	-1.28589206364191	5.79842911212998	-5.90272632627871	8.32811172901155e-07	0.000354484950324873	5.74769719768171
ZBTB25	0.66897111470901	6.41895300277955	5.9031070626239	8.31819937919931e-07	0.000354484950324873	5.73661307429158
PPP1R15A	0.587369385047521	7.40077117365464	5.89397257724843	8.55930197602999e-07	0.000354738017948675	5.55116430041441
SETD2	0.487787953803684	8.22716423941987	5.91253238344208	8.07654324483228e-07	0.000354484950324873	5.53256024697089
TRGC2	0.734574391966802	6.81517227654258	5.8179928594887	1.08558381862804e-06	0.000416996574623732	5.45367557175009
TMEM66	0.379009552198541	9.00143720408198	5.94349309478359	7.33110820077427e-07	0.000339581244276453	5.44470207267287
ITM2B	0.52055211143685	8.27669734387533	5.87163288643335	9.17883335619382e-07	0.000370660119299222	5.3891014680692
TC2N	1.00527518226246	7.21325362109028	5.78469489891696	1.20476810054261e-06	0.000432503344096397	5.28954039277405
SIAH2	-0.562141042993068	7.15580814533186	-5.78374858258807	1.20834003049346e-06	0.000432503344096397	5.2894662040047
FOSL2	-0.84213600255016	6.51520230025404	-5.71668043796366	1.49041483910562e-06	0.000461566157520144	5.16784538312711
KLF2	2.28232441240469	5.07688805483067	5.72829377012827	1.43724280992522e-06	0.000461566157520144	5.1478748280814
IRF4	-0.92014716886958	9.05189609915849	-5.84703488923558	9.91302076080703e-07	0.000390300409904875	5.14365332380807
PDE4D	0.930976802215405	6.82223145324968	5.71576473762739	1.49469007768921e-06	0.000461566157520144	5.14355987767068
FAM214A	1.00889261282129	5.92411503594298	5.68107137075325	1.66601945291896e-06	0.000495059252151335	5.09332875282681
FAM40B	-2.22351173672862	2.91254664699882	-6.01642596288289	5.83607672672952e-07	0.000279902535564845	5.08671418559839
PDE3B	0.905621325804017	7.61367434015987	5.72795938103363	1.43874698553222e-06	0.000461566157520144	5.07088371266174
TCF7	0.981446011803048	7.19802344216584	5.70431724278163	1.54918191134793e-06	0.000469193575419588	5.05961748167047
PTPN22	0.636548507098581	7.99413492570284	5.72201931000346	1.46573080785841e-06	0.000461566157520144	4.9697896949417
SATB1	-0.522906384563116	9.12148377665395	-5.7860404251208	1.19970749754862e-06	0.000432503344096397	4.9369354810129
LAPTM5	0.720286282962381	8.35790385607933	5.72340406946529	1.45939543159823e-06	0.000461566157520144	4.9217142513251
IGLV3-12	3.10428622080783	0.828216013955686	6.32533945668183	2.22422217736301e-07	0.000159223977596773	4.88123395224731
IL16	0.989231022245349	6.66674016836702	5.61609538714379	2.04140893539763e-06	0.000584548169519588	4.85422085574054
GPR155	1.17920548790419	6.41237151464272	5.54244785911945	2.56992517488071e-06	0.000663884546530976	4.66046868782707
MYBL1	1.48849490794683	5.72902304376168	5.53240048185254	2.65190400041074e-06	0.000663884546530976	4.65353193110678
ZMAT1	1.90287094856821	3.96023516406583	5.63831440005325	1.90438672460191e-06	0.000555410861588066	4.57530915297003
TTC3P1	0.45926127205687	6.80912214734711	5.50821063281348	2.86013322989908e-06	0.000703816222463759	4.51038234617996
FAM190B	0.442397116741388	8.46672295453918	5.59304032422178	2.19399963797626e-06	0.000611328493468361	4.49484196888089
SELPLG	0.575115217004228	7.46714518582075	5.53354973423761	2.64239640423294e-06	0.000663884546530976	4.48428524605369
BAZ2B	0.972535497035918	5.95390291792458	5.47012930400487	3.2214630589856e-06	0.000724783167370917	4.46854621065669
SOCS3	-1.03447226848942	5.28782673491565	-5.47082039170085	3.21451668695507e-06	0.000724783167370917	4.46339122177945
DNAJB1	0.494729424032998	7.54239192858039	5.5349611342395	2.63076660787839e-06	0.000663884546530976	4.46308652596204
CISH	-0.729001334843416	8.10373958378794	-5.56714627028302	2.37899224024088e-06	0.00064597842744058	4.46136365034047
USP53	1.23981504933545	5.05963555167077	5.47978402228249	3.12576136705594e-06	0.000724783167370917	4.45875642876392
BTG1	0.572538154879023	8.75705353794472	5.59034482241534	2.21256740921307e-06	0.000611328493468361	4.4338212038037
LPAR6	1.05162637689186	4.98247249431182	5.44283251779596	3.50813652038767e-06	0.000756844411775143	4.34739926678408
PAG1	0.401564235903481	7.79885886798569	5.49876621689594	2.94578903398594e-06	0.000713742023019148	4.27557587912592
CD74	0.368021415742907	8.83578740255072	5.53194195979495	2.65570680242882e-06	0.000663884546530976	4.23270240743193
SFXN2	-0.966990253665965	4.96020357447861	-5.39282085674986	4.10090977958558e-06	0.000838769196346667	4.22924922857606
MPP7	1.36976196478385	3.81596059516485	5.47941749854613	3.12934220624758e-06	0.000724783167370917	4.21645010703554
TRGC1	0.814908683151797	5.34634752910583	5.36373387772897	4.49051829238587e-06	0.000863864002051669	4.14723667312163
LIMA1	-0.604432092278348	7.33549709878002	-5.40519713916283	3.94552321081059e-06	0.000828507267294081	4.13061238438676
DZIP3	1.27727469417733	5.51946044552909	5.3535476943142	4.63549834924806e-06	0.000863864002051669	4.13001103949743
ANKRD26	1.07865521995463	5.4764221069727	5.35169122627763	4.66241921229233e-06	0.000863864002051669	4.12384841215369
RARRES3	0.657212169245869	7.11294917265193	5.38388527223141	4.21687292970351e-06	0.000851429894485905	4.10815572766389
LRRC8B	-0.699390147277965	6.71270385000925	-5.35898590059142	4.5575257540397e-06	0.000863864002051669	4.07152722117263
SUSD3	1.12952745393561	4.98952267109001	5.33337936827196	4.93644479436679e-06	0.000893609989269914	4.05457042727312
RBM39	0.248777651134986	8.68233204569565	5.46434389130412	3.2802044094055e-06	0.000727604778080666	4.03646789354582
BTG2	0.411419133908777	7.72567065910215	5.420933477478	3.75639305818322e-06	0.000799451814504426	4.03626346295731
POP1	-0.7958928952959	5.68746069229661	-5.30924374040222	5.322253209661e-06	0.000941799615718552	4.00210552205502
PES1	-0.924270674124592	6.10012901039801	-5.30301710168821	5.42656394509829e-06	0.000949588395237256	3.95473211271296
ATRX	0.382069934940107	9.15452661849155	5.4726468118573	3.19623047156785e-06	0.000724783167370917	3.94519881217122
PTPN4	0.992349374707381	6.99620910254151	5.32436246450018	5.07720985734245e-06	0.000908647477764617	3.94255138430324
EPHA4	2.984442856538	4.07115608603306	5.40028334263793	4.00650212424642e-06	0.000830242130983642	3.92869191374467
CLEC2B	0.768024223055307	6.81376988508989	5.28302117504091	5.77549512883327e-06	0.000967641199829736	3.8455891644601
FURIN	-0.760483214613975	5.87640755093416	-5.25503814918157	6.30158032174965e-06	0.00102507067196161	3.8284825829475
LRIG1	0.761248621913553	5.6811214446951	5.24787660467967	6.44371049109145e-06	0.00102507067196161	3.82278527847113
CASP8	0.653408474788271	7.07335083994736	5.28938089784122	5.66216226947393e-06	0.000961143039125069	3.82174944772214
ZBP1	2.85887494820098	1.47407679603527	5.73609945284314	1.40257373702175e-06	0.000461566157520144	3.82133247867749
SGPL1	-0.573794399364204	7.18117962419069	-5.29582529136131	5.54957772058797e-06	0.000960442851885054	3.81694415444524
SMAD2	-0.418963956353518	8.29549517054312	-5.35647906140005	4.59330503782402e-06	0.000863864002051669	3.79650703945288
DHCR24	-1.0706640173851	6.66782011844642	-5.24811713639881	6.43888548359297e-06	0.00102507067196161	3.74221660069806
SCML4	0.801023983142442	5.98611143117601	5.22160262736176	6.99299667527616e-06	0.00109042281820717	3.72800358666128
IQCG	-0.946645816444739	6.14468555311561	-5.21703566059893	7.09311528397036e-06	0.00109519090791421	3.71417843539975
TNFAIP3	0.473840891334591	9.01773300653632	5.35893657641527	4.55822705809676e-06	0.000863864002051669	3.6476822206221
PRMT6	-0.975520216181383	4.5820359940137	-5.20870559791409	7.2794137291764e-06	0.00111304356136698	3.63828454961954
ITPRIPL2	-1.74757711142143	3.59396215612953	-5.34723813013592	4.7276302920093e-06	0.000865761040335518	3.59676219931017
LNPEP	0.417681582978218	7.73411139805433	5.24964415933859	6.40833748038879e-06	0.00102507067196161	3.59365567473485
PRDM1	-0.702288281209841	7.69068955113356	-5.24941285213845	6.41295548729734e-06	0.00102507067196161	3.59254482186497
TRANK1	1.52186437329817	5.84211342609594	5.16399982698655	8.36552043384272e-06	0.0012312951524541	3.57960779674525
CASP1	0.600275745893814	7.13138294631087	5.17348207847814	8.12244959286015e-06	0.00120679677960334	3.46314437401648
QTRT1	-0.591835077401313	6.18217240374947	-5.13971771671868	9.02142502040709e-06	0.00130347176739808	3.46121364687764
SRSF11	0.377043033760492	9.04496868389769	5.28861565902065	5.67568116316156e-06	0.000961143039125069	3.42200778114497
PLEKHA1	0.613325927223155	6.89785472519647	5.11831791952658	9.64166923882073e-06	0.00134377565347069	3.33111572624119
