libID	stim
lib1096	Unstimulated
lib1097	Unstimulated
lib1099	Unstimulated
lib1100	Unstimulated
lib1102	Unstimulated
lib1103	Unstimulated
lib1104	Unstimulated
lib1105	Unstimulated
lib1106	Unstimulated
lib1107	Unstimulated
lib1108	Unstimulated
lib1109	Unstimulated
lib1110	Unstimulated
lib1111	Unstimulated
lib1112	Unstimulated
lib1113	Unstimulated
lib1114	Unstimulated
lib1115	Unstimulated
lib1116	Unstimulated
lib1117	Unstimulated
lib1118	Unstimulated
lib1119	Unstimulated
lib1121	Unstimulated
lib1122	Unstimulated
lib1123	Unstimulated
lib1124	Unstimulated
lib1125	Unstimulated
lib1126	Unstimulated
lib1127	Unstimulated
lib1128	Unstimulated
lib1129	Unstimulated
lib1131	Unstimulated
lib1132	Unstimulated
lib1133	Unstimulated
lib1134	Unstimulated
lib1136	Unstimulated
lib1137	Unstimulated
lib1138	Unstimulated
lib1139	Unstimulated
lib1140	Unstimulated
lib1141	Unstimulated
lib1142	Unstimulated
lib1143	Unstimulated
lib1145	Unstimulated
lib1146	Unstimulated
lib1147	Unstimulated
lib1148	Unstimulated
lib1149	Unstimulated
lib1150	Unstimulated
lib1151	Unstimulated
lib1152	Unstimulated
lib1153	Unstimulated
lib1154	Unstimulated
lib1211	tetramer
lib1212	tetramer
lib1213	tetramer
lib1214	tetramer
lib1216	tetramer
lib1217	tetramer
lib1218	tetramer
lib1220	tetramer
lib1221	tetramer
lib1222	tetramer
lib1223	tetramer
lib1224	tetramer
lib1229	tetramer
lib1230	tetramer
lib1231	tetramer
lib1232	tetramer
lib1233	tetramer
lib1234	tetramer
lib1235	tetramer
lib1237	tetramer
lib1238	tetramer
lib1239	tetramer
lib1240	tetramer
lib1242	tetramer
lib1243	tetramer
lib1244	tetramer
lib1245	tetramer
lib1246	tetramer
lib1247	tetramer
lib1249	tetramer
lib1251	tetramer
lib1252	tetramer
lib1253	tetramer
lib1254	tetramer
lib1255	tetramer
lib1256	tetramer
lib1258	tetramer
lib1259	tetramer
lib1260	tetramer
lib1262	tetramer
lib1263	tetramer
lib1264	tetramer
lib1265	tetramer
lib1266	tetramer
lib1267	tetramer
lib1268	tetramer
lib1269	tetramer
lib1270	tetramer
lib1271	tetramer
lib1157	aCD3_aCD28
lib1158	aCD3_aCD28
lib1159	aCD3_aCD28
lib1160	aCD3_aCD28
lib1161	aCD3_aCD28
lib1162	aCD3_aCD28
lib1163	aCD3_aCD28
lib1164	aCD3_aCD28
lib1165	aCD3_aCD28
lib1166	aCD3_aCD28
lib1167	aCD3_aCD28
lib1168	aCD3_aCD28
lib1169	aCD3_aCD28
lib1170	aCD3_aCD28
lib1173	aCD3_aCD28
lib1174	aCD3_aCD28
lib1175	aCD3_aCD28
lib1176	aCD3_aCD28
lib1177	aCD3_aCD28
lib1178	aCD3_aCD28
lib1179	aCD3_aCD28
lib1180	aCD3_aCD28
lib1181	aCD3_aCD28
lib1182	aCD3_aCD28
lib1183	aCD3_aCD28
lib1185	aCD3_aCD28
lib1187	aCD3_aCD28
lib1188	aCD3_aCD28
lib1189	aCD3_aCD28
lib1190	aCD3_aCD28
lib1191	aCD3_aCD28
lib1192	aCD3_aCD28
lib1193	aCD3_aCD28
lib1194	aCD3_aCD28
lib1195	aCD3_aCD28
lib1196	aCD3_aCD28
lib1198	aCD3_aCD28
lib1199	aCD3_aCD28
lib1200	aCD3_aCD28
lib1201	aCD3_aCD28
lib1202	aCD3_aCD28
lib1203	aCD3_aCD28
lib1206	aCD3_aCD28
lib1207	aCD3_aCD28
lib1208	aCD3_aCD28
lib1209	aCD3_aCD28
lib1210	aCD3_aCD28
