libID	cells
lib4043	FluTmr+ CD8+
lib4044	FluTmr+ CD8+
lib4045	FluTmr+ CD8+
lib4046	FluTmr+ CD8+
lib4047	FluTmr+ CD8+
lib4048	FluTmr+ CD8+
lib4049	FluTmr+ CD8+
lib4050	FluTmr+ CD8+
lib4051	FluTmr+ CD8+
lib4052	FluTmr+ CD8+
lib4053	FluTmr+ CD8+
lib4054	FluTmr+ CD8+
lib4055	FluTmr+ CD8+
lib4057	FluTmr+ CD8+
lib4058	FluTmr+ CD8+
lib4059	FluTmr+ CD8+
lib4060	FluTmr+ CD8+
lib4061	FluTmr+ CD8+
lib4062	FluTmr+ CD8+
lib4063	FluTmr+ CD8+
lib4064	FluTmr+ CD8+
lib4065	FluTmr+ CD8+
lib4067	FluTmr+ CD8+
lib4068	FluTmr+ CD8+
lib4069	FluTmr+ CD8+
lib4070	FluTmr+ CD8+
lib4071	FluTmr+ CD8+
lib4072	FluTmr+ CD8+
lib4073	FluTmr+ CD8+
lib4074	FluTmr+ CD8+
lib4075	FluTmr+ CD8+
lib4076	FluTmr+ CD8+
lib4077	FluTmr+ CD8+
lib4078	FluTmr+ CD8+
lib4079	FluTmr+ CD8+
lib4080	FluTmr+ CD8+
lib4081	FluTmr+ CD8+
lib4082	FluTmr+ CD8+
lib4083	FluTmr+ CD8+
lib4084	FluTmr+ CD8+
lib4085	FluTmr+ CD8+
lib4086	FluTmr+ CD8+
lib4087	FluTmr+ CD8+
lib4088	FluTmr+ CD8+
lib4089	FluTmr+ CD8+
